actorId,awards,nominations
a0781842,1,3.0
a1969399,0,0.0
a0000915,7,31.0
a0324660,9,5.0
a0796117,14,38.0
a0604335,51,59.0
a0358960,18,39.0
a0742341,3,8.0
a0064600,0,1.0
a0128883,1,2.0
a0770918,7,4.0
a0933505,5,6.0
a0809321,1,0.0
a0005366,10,11.0
a0573589,0,0.0
a0720304,1,5.0
a0812200,3,2.0
a0610496,5,3.0
a0588964,0,0.0
a0005069,63,102.0
a0000916,3,20.0
a0201969,4,5.0
a0254786,1,1.0
a0237292,2,4.0
a0868643,12,5.0
a0005190,13,13.0
a0298807,5,9.0
a0332539,0,3.0
a0787257,1,0.0
a0001469,29,44.0
a0557927,3,2.0
a0001752,30,76.0
a0001804,28,53.0
a0957794,14,9.0
a0089176,1,0.0
a0320660,8,10.0
a0285302,9,11.0
a0001382,1,7.0
a0001162,5,6.0
a0134176,1,7.0
a0586198,1,6.0
a0796124,2,3.0
a0000149,57,50.0
a0432627,0,2.0
a0589106,3,9.0
a0001532,6,4.0
a0400958,6,12.0
a0914132,1,6.0
a0235852,1,0.0
a0087861,8,3.0
a0006249,46,20.0
a0426333,6,2.0
a0006888,7,6.0
a0740213,4,12.0
a0921631,14,16.0
a0000076,31,35.0
a0000175,6,8.0
a0645574,7,11.0
a0116663,4,7.0
a0389311,0,0.0
a0001814,45,66.0
a0404606,0,0.0
a0314104,0,2.0
a0004886,7,8.0
a0577849,0,0.0
a0718627,5,1.0
a0638033,5,8.0
a0592400,4,5.0
a0000345,31,43.0
a0664756,0,4.0
a0643539,1,1.0
a0001282,2,3.0
a0578899,0,2.0
a0228013,9,3.0
a0698493,1,3.0
a0772095,16,18.0
a0000736,4,10.0
a0357891,1,2.0
a0000816,5,9.0
a0001053,92,226.0
a0532263,3,3.0
a0788454,0,3.0
a0874096,31,23.0
a0732430,7,3.0
a0313569,0,0.0
a0797869,1,5.0
a0354279,8,5.0
a0951206,9,14.0
a0166836,0,0.0
a0842582,0,2.0
a0000114,27,62.0
a0504513,11,4.0
a0077686,0,1.0
a0950109,1,1.0
a0000092,10,20.0
a0000641,17,16.0
a0000199,50,110.0
a0933604,6,4.0
a0482681,3,6.0
a0770650,1,6.0
a0001239,17,38.0
a0811714,5,2.0
a0480843,1,1.0
a0001226,1,7.0
a0772259,28,18.0
a0132709,3,2.0
a0346550,18,15.0
a0000559,9,16.0
a0518644,8,15.0
a0272704,6,3.0
a0753382,19,12.0
a0006841,3,7.0
a0000568,17,15.0
a0004121,6,11.0
a0002137,11,6.0
a0796915,2,10.0
a0822582,6,11.0
a0000104,59,78.0
a0425957,1,0.0
a0654858,40,45.0
a0709752,1,6.0
a0365615,0,2.0
a0000829,0,15.0
a0364805,0,0.0
a0638354,15,17.0
a0680846,20,45.0
a0001093,5,7.0
a0575389,4,3.0
a0653211,9,17.0
a0382584,7,8.0
a0899329,4,7.0
a0467646,5,6.0
a0455214,1,2.0
a0166625,0,2.0
a0262693,0,2.0
a0305405,1,12.0
a0287198,2,8.0
a0007182,4,10.0
a0718645,7,12.0
a0169940,1,1.0
a0322128,6,23.0
a0883609,2,0.0
a0587518,3,6.0
a0234893,0,0.0
a0087904,3,1.0
a0145309,4,4.0
a0390822,0,4.0
a0006845,18,18.0
a0001348,60,62.0
a0000040,46,51.0
a0000778,13,11.0
a0371059,1,4.0
a0772522,42,30.0
a0000154,40,38.0
a0721817,2,5.0
a0287988,0,1.0
a0920108,6,10.0
a0776209,1,5.0
a0190859,177,148.0
a0675068,4,8.0
a0499724,3,7.0
a0000887,2,0.0
a0000619,19,25.0
a0086826,0,1.0
a0908890,1,2.0
a0003620,13,23.0
a0955434,24,20.0
a0696309,3,3.0
a0625379,0,3.0
a0896533,2,4.0
a0398185,5,3.0
a0844358,3,1.0
a0731253,4,3.0
a0001372,4,14.0
a0868153,50,46.0
a0853546,1,1.0
a0004716,40,84.0
a0274659,19,24.0
a0001747,4,8.0
a0005033,12,19.0
a0163706,6,9.0
a0434571,7,3.0
a0939182,38,74.0
a0000265,67,69.0
a0523932,5,7.0
a0193554,4,12.0
a0784061,3,2.0
a0500988,22,23.0
a0805935,1,2.0
a0027183,3,9.0
a0001325,10,9.0
a0727211,0,2.0
a0906901,3,3.0
a0935382,0,1.0
a0026442,6,12.0
a0711114,0,0.0
a0910199,3,8.0
a0141222,0,2.0
a0000329,45,47.0
a0619762,32,23.0
a0001361,9,4.0
a0001741,19,25.0
a0001068,53,68.0
a0417794,2,2.0
a0003088,5,8.0
a0000788,8,13.0
a0254675,0,0.0
a0001591,2,8.0
a0001270,2,2.0
a0343260,1,2.0
a0392237,18,58.0
a0238865,0,0.0
a0005124,36,30.0
a0290867,0,0.0
a0045321,4,1.0
a0960028,6,3.0
a0001945,9,15.0
a0000647,0,2.0
a0769874,7,5.0
a0847749,2,2.0
a0146960,7,11.0
a0001994,3,5.0
a0000797,3,11.0
a0686184,0,0.0
a0300265,3,1.0
a0180257,0,3.0
a0000750,5,1.0
a0000134,65,124.0
a0725379,0,5.0
a0586123,30,13.0
a0462895,3,13.0
a0446109,0,3.0
a0602333,1,2.0
a0000473,32,57.0
a0002606,0,1.0
a0000786,1,1.0
a0003080,6,9.0
a0000419,49,65.0
a0558773,2,2.0
a0873385,11,12.0
a0637518,23,10.0
a0000484,10,14.0
a0119106,3,5.0
a0728522,0,1.0
a0583600,6,5.0
a0377066,0,0.0
a0851288,2,2.0
a0235066,0,0.0
a0000436,39,22.0
a0382776,3,3.0
a0788940,2,1.0
a0169680,0,0.0
a0956537,5,2.0
a0338018,0,0.0
a0661751,7,5.0
a0443181,0,3.0
a0770942,7,0.0
a0001274,3,6.0
a0758574,52,32.0
a0001708,9,9.0
a1635724,0,0.0
a0154819,3,2.0
a0629387,9,1.0
a0640466,3,2.0
a0000921,3,2.0
a0478418,9,12.0
a0001466,8,6.0
a0818465,0,1.0
a0624535,2,6.0
a0000824,3,7.0
a0000941,77,59.0
a0747849,4,3.0
a0695693,0,0.0
a0515891,0,1.0
a0864468,2,2.0
a0814384,9,3.0
a0958387,6,6.0
a0003593,36,38.0
a0236930,0,5.0
a0587955,15,25.0
a0402597,0,1.0
a0927296,1,0.0
a0927074,0,0.0
a0326360,1,1.0
a0950759,19,16.0
a0313623,12,18.0
a0764319,0,2.0
a0658476,0,0.0
a0931285,1,9.0
a0471461,11,5.0
a0004675,11,11.0
a0000944,11,2.0
a0563039,10,9.0
a0330360,2,5.0
a0932078,4,3.0
a0005139,77,101.0
a0855035,1,3.0
a0378893,3,5.0
a0905729,0,0.0
a0652860,0,3.0
a0638630,3,7.0
a0005348,21,26.0
a0000229,178,189.0
a0446129,0,0.0
a0388198,4,5.0
a0442241,15,18.0
a0002030,14,24.0
a0863387,7,11.0
a0407067,30,36.0
a0692872,2,4.0
a0001502,6,5.0
a0000343,66,77.0
a0527217,5,6.0
a0001241,77,72.0
a0325533,2,6.0
a0000776,23,19.0
a0917992,0,4.0
a0001302,9,18.0
a0804408,5,7.0
a0000386,17,15.0
a0567680,26,31.0
a0528337,4,4.0
a0846119,28,10.0
a0804641,0,1.0
a0410139,3,6.0
a0000431,12,12.0
a0638080,2,2.0
a0911061,18,12.0
a0351993,0,1.0
a0001843,1,3.0
a0000814,5,6.0
a0573732,12,12.0
a0211823,3,2.0
a0573796,5,8.0
a0027572,70,141.0
a0000361,14,27.0
a0691194,0,0.0
a0905152,10,22.0
a0382783,0,0.0
a0864812,3,10.0
a0125803,3,4.0
a0757256,0,1.0
a0493369,0,2.0
a0802551,5,1.0
a0705535,21,13.0
a0557751,2,2.0
a0719756,13,8.0
a0402563,0,1.0
a0165412,1,3.0
a0001024,5,8.0
a0001639,7,6.0
a0155280,46,49.0
a0005363,8,10.0
a0291205,7,6.0
a0000965,83,73.0
a0000905,50,30.0
a0615780,9,15.0
a0180912,3,0.0
a0394280,4,10.0
a0295007,0,0.0
a0287025,10,7.0
a0381273,2,3.0
a0041932,6,10.0
a0829038,3,7.0
a0764776,0,2.0
a0609236,1,2.0
a0535940,1,1.0
a0481418,6,20.0
a0403774,1,0.0
a0832309,1,7.0
a0327064,3,5.0
a0001104,15,28.0
a0494889,1,2.0
a0750701,1,6.0
a0000233,144,225.0
a0390844,10,13.0
a0000682,39,42.0
a0053157,1,3.0
a0429517,2,4.0
a0006854,7,7.0
a0005197,1,3.0
a0455741,2,2.0
a0160602,7,1.0
a0264220,15,7.0
a0458251,19,12.0
a0082300,4,2.0
a0004555,17,25.0
a0534084,1,4.0
a0242064,8,14.0
a0548529,0,0.0
a0258066,1,9.0
a0634897,12,8.0
a0748928,5,13.0
a0910510,3,0.0
a0955443,130,102.0
a0807687,8,9.0
a0723704,0,0.0
a0004306,63,50.0
a0899121,55,54.0
a0552954,2,2.0
a0767110,16,16.0
a0233757,22,15.0
a0393094,0,0.0
a0389591,3,4.0
a0802563,6,5.0
a0268380,25,24.0
a0066439,1,4.0
a0953649,0,7.0
a0365666,1,3.0
a0668247,76,113.0
a0139111,1,2.0
a0726472,5,4.0
a0112218,10,34.0
a0000362,14,39.0
a0651915,12,11.0
a0431918,7,25.0
a0423333,0,0.0
a0940774,4,8.0
a0002031,5,12.0
a0001112,1,4.0
a0000835,4,3.0
a0001887,1,1.0
a0477129,3,10.0
a0827854,4,4.0
a0005436,13,20.0
a0703954,3,4.0
a0799033,4,2.0
a0181902,1,2.0
a0616152,0,0.0
a0770234,7,5.0
a0004305,1,5.0
a0953123,9,8.0
a0179216,1,4.0
a0496312,16,33.0
a0897045,2,2.0
a0001338,32,21.0
a0230695,20,21.0
a0761739,10,6.0
a0294825,2,3.0
a0171122,0,0.0
a0568546,1,0.0
a0635759,1,3.0
a0440913,14,14.0
a0367860,5,3.0
a0770961,12,20.0
a0002338,3,11.0
a0002045,13,12.0
a0000370,61,35.0
a0463727,9,7.0
a0000425,28,31.0
a0569790,1,10.0
a0844896,10,16.0
a0000277,25,21.0
a0505230,0,0.0
a0672060,15,8.0
a0795803,7,7.0
a0281598,1,5.0
a0380705,0,1.0
a0044803,10,7.0
a0223359,0,0.0
a0293197,1,3.0
a0582635,0,0.0
a0474955,0,0.0
a0919363,3,24.0
a0892705,0,1.0
a0650233,4,4.0
a0782266,6,5.0
a0000380,57,62.0
a0718505,4,3.0
a0005563,12,10.0
a0741262,6,11.0
a0364578,5,3.0
a0473941,1,0.0
a0802617,0,0.0
a0759207,2,6.0
a0002080,15,11.0
a0609549,8,6.0
a0622112,15,16.0
a0005101,10,14.0
a0329116,0,1.0
a0620576,1,5.0
a0109165,3,5.0
a0477193,5,1.0
a0866062,10,16.0
a0227781,3,6.0
a0023929,1,1.0
a0925474,0,0.0
a0506461,2,13.0
a0054077,10,26.0
a0393678,0,1.0
a0407842,1,3.0
a0776114,3,4.0
a0001486,37,50.0
a0750857,1,0.0
a0123009,4,2.0
a0000408,1,5.0
a0945026,5,7.0
a0848092,0,0.0
a0776317,4,3.0
a0540532,1,3.0
a0436284,0,1.0
a0550881,16,26.0
a0942408,1,2.0
a0001378,38,56.0
a0373154,0,1.0
a0097491,4,5.0
a0000806,17,27.0
a0000985,44,62.0
a0053190,18,24.0
a0227540,0,2.0
a0640740,25,12.0
a0514546,0,0.0
a0027271,2,3.0
a0541149,8,3.0
a0002207,4,4.0
a0645549,0,1.0
a0290802,0,2.0
a0357143,13,16.0
a0449863,6,7.0
a0000080,32,26.0
a0663489,3,9.0
a0636165,1,0.0
a0002887,0,3.0
a0734319,6,11.0
a0662529,0,2.0
a0450194,1,0.0
a0724798,10,16.0
a0410769,1,6.0
a0906548,1,2.0
a0367431,1,7.0
a0847314,1,1.0
a0000958,20,30.0
a0023469,3,2.0
a0062644,1,1.0
a0001402,4,7.0
a0000127,11,8.0
a0003201,0,0.0
a0131995,1,1.0
a0000602,42,54.0
a0547446,0,1.0
a0002086,2,1.0
a0444857,2,1.0
a0841647,0,0.0
a0878638,1,9.0
a0150707,0,1.0
a0950553,4,6.0
a0000631,42,92.0
a0684596,5,8.0
a0326161,2,0.0
a0217546,0,0.0
a0533564,8,8.0
a0000454,23,15.0
a0000600,12,20.0
a0279926,9,20.0
a0881038,0,5.0
a0939202,1,2.0
a0540075,0,8.0
a0001120,27,15.0
a0715346,6,15.0
a0650905,13,13.0
a0000698,6,9.0
a0314671,4,7.0
a0849609,12,12.0
a0128225,1,0.0
a0368871,8,6.0
a0959062,14,25.0
a0047076,0,1.0
a0934863,0,1.0
a0001438,14,17.0
a0000231,57,46.0
a0000241,2,10.0
a0106924,9,10.0
a0000230,58,60.0
a0001928,3,2.0
a0414144,3,6.0
a0644695,1,2.0
a0000694,89,72.0
a0377750,6,11.0
a0467942,0,1.0
a0722493,4,0.0
a0404754,3,4.0
a0748022,2,7.0
a0585011,7,16.0
a0629272,10,11.0
a0730932,0,0.0
a0687964,20,27.0
a0201095,54,66.0
a0572951,1,2.0
a0001775,10,25.0
a0689385,0,1.0
a0000591,87,78.0
a0828245,1,0.0
a0723685,4,3.0
a0003474,2,19.0
a0000037,14,9.0
a0000116,62,57.0
a0002167,51,28.0
a0112374,10,23.0
a0817770,5,7.0
a0005421,6,3.0
a0430927,10,12.0
a0733476,1,12.0
a0467396,1,13.0
a0379179,16,13.0
a0031342,1,0.0
a0856267,8,4.0
a0241090,11,8.0
a0819613,3,3.0
a0137573,0,6.0
a0525303,33,45.0
a0806915,1,2.0
a0005347,5,5.0
a0005022,3,8.0
a0000406,32,22.0
a0006487,31,40.0
a0570408,0,2.0
a0000957,1,6.0
a0903717,2,3.0
a0839397,29,7.0
a0001501,37,25.0
a0422484,29,23.0
a0000320,37,35.0
a0440458,1,7.0
a0000455,2,2.0
a0025978,7,8.0
a0001425,68,28.0
a0923768,22,23.0
a0137363,3,4.0
a0644203,1,4.0
a0002083,10,10.0
a0000209,36,38.0
a0867262,4,8.0
a0875793,2,6.0
a0591450,1,5.0
a0000111,3,14.0
a0797526,0,2.0
a0001508,15,6.0
a0889513,71,37.0
a0564319,3,4.0
a0589168,2,2.0
a0232902,0,1.0
a0759410,5,4.0
a0001139,15,8.0
a0920425,0,4.0
a0012155,0,5.0
a0000059,40,35.0
a0213726,0,0.0
a0000791,3,3.0
a0414312,0,2.0
a0575361,5,1.0
a0003836,10,12.0
a0005390,8,15.0
a0001878,3,2.0
a0336695,8,37.0
a0513974,1,0.0
a0836328,5,14.0
a0000953,17,18.0
a0881279,28,29.0
a0928832,0,1.0
a0782682,1,3.0
a0462277,2,0.0
a0783139,10,17.0
a0001379,41,62.0
a0001149,10,7.0
a0001008,12,14.0
a0613981,0,0.0
a0637615,14,25.0
a0503777,5,15.0
a0671862,0,3.0
a0336726,28,15.0
a0519434,0,1.0
a0087595,1,0.0
a0001206,22,35.0
a0000720,3,2.0
a0396421,6,0.0
a0001880,24,21.0
a0003941,71,13.0
a0423646,11,18.0
a0089177,0,0.0
a0583292,8,17.0
a0075483,1,1.0
a0809823,0,2.0
a0001355,2,7.0
a0000490,84,124.0
a0886754,1,4.0
a0583754,0,0.0
a0001023,12,22.0
a0001437,34,21.0
