head	relation	tail
170	has_director	Robert W. Paul
171	has_genre	Short
171	has_genre	Comedy
171	has_rating	5.0
171	has_director	Alice Guy
172	has_genre	Short
172	has_genre	Comedy
172	has_genre	Horror
172	has_rating	6.1
172	has_director	George Albert Smith
173	has_genre	Short
173	has_genre	War
173	has_rating	4.6
173	has_director	J. Stuart Blackton
174	has_genre	Short
174	has_genre	Comedy
174	has_rating	4.7
174	has_director	Jan Krízenecký
175	has_genre	Documentary
175	has_genre	Short
175	has_rating	5.0
175	has_director	Henry Short
176	has_genre	Short
176	has_rating	5.8
176	has_director	n
176	has_director	u
176	has_director	l
176	has_director	l
177	has_genre	Short
177	has_genre	Crime
177	has_rating	4.6
177	has_director	J. Stuart Blackton
178	has_genre	Short
178	has_genre	Horror
178	has_rating	5.1
178	has_director	Edwin S. Porter
179	has_genre	Short
179	has_genre	Horror
179	has_rating	4.6
179	has_director	Georges Méliès
180	has_genre	Short
180	has_rating	null
180	has_director	Alice Guy
181	has_genre	Short
181	has_genre	Fantasy
181	has_rating	6.7
181	has_director	George Albert Smith
183	has_genre	Short
183	has_genre	Drama
183	has_rating	6.2
183	has_director	George Albert Smith
184	has_genre	Western
184	has_genre	Short
184	has_rating	4.8
184	has_director	James H. White
185	has_genre	Short
185	has_rating	null
185	has_director	Alice Guy
186	has_genre	Short
186	has_genre	War
186	has_rating	4.3
186	has_director	Georges Méliès
187	has_genre	Short
187	has_rating	5.3
187	has_director	Alice Guy
188	has_genre	Short
188	has_genre	Drama
188	has_rating	5.0
188	has_director	Robert W. Paul
189	has_genre	Short
189	has_rating	null
189	has_director	Fructuós Gelabert
190	has_genre	Short
190	has_genre	Comedy
190	has_rating	5.1
190	has_director	Jan Krízenecký
191	has_genre	Short
191	has_rating	null
191	has_director	Alice Guy
193	has_genre	Short
193	has_rating	null
193	has_director	Alice Guy
194	has_genre	Documentary
194	has_genre	Short
194	has_rating	5.4
194	has_director	Cecil M. Hepworth
195	has_genre	Short
195	has_genre	Comedy
195	has_rating	null
195	has_director	Alice Guy
196	has_genre	Short
196	has_genre	Fantasy
196	has_rating	5.2
196	has_director	George Albert Smith
198	has_genre	Short
198	has_rating	4.8
198	has_director	Alice Guy
199	has_genre	Short
199	has_rating	5.0
199	has_director	n
199	has_director	u
199	has_director	l
199	has_director	l
201	has_genre	Short
201	has_genre	News
201	has_rating	null
201	has_director	William K.L. Dickson
202	has_genre	Short
202	has_rating	null
202	has_director	Alice Guy
203	has_genre	Short
203	has_rating	null
203	has_director	Alice Guy
204	has_genre	Short
204	has_rating	5.7
