actorId,awards
a0004056,"['Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', None, 'Nominee', 'Winner', 'Nominee', None, 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', None, 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee']"
a0091357,[]
a0579614,[]
a0938684,"['Nominee', 'Nominee']"
a0093074,[]
a0582104,[]
a0569680,[]
a0682495,"['Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee']"
a0924959,[]
a1888456,[]
